Title,roomicons,Title1,singleroomtext,Title2,furareea,furareea6,furareea7
"9,000,000",17,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,"Glover road, Old Ikoyi Ikoyi Lagos",4 Bedroom Terrace House With 2 Room BQ,4 beds,4 baths,5 Toilets
"12,000,000",33,3 BEDROOM FLAT / APARTMENT FOR RENT,"Vita Towers, Anifowose Street, Victoria Island Lagos",Serviced 3 Bedroom Flat,3 beds,3 baths,4 Toilets
"25,000",9,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Ikorodu road Ikorodu Road(ilupeju) Ilupeju Lagos,Clean And Serviced 1500sqm Office Space On Ikorodu Road For Rent, beds, baths,10 Toilets
"3,000,000",4,3 BEDROOM HOUSE FOR RENT, Maryland Lagos,3bedroom Duplex Available At Maryland,3 beds,4 baths,4 Toilets
"2,500,000",5,3 BEDROOM FLAT / APARTMENT FOR RENT, Ikeja Lagos,3bedroom Flat All-Ensuit Available At Ikeja,3 beds,4 baths,4 Toilets
"12,000,000",4,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT, 2nd Avenue Extension Ikoyi Lagos,"Tastefully Finished 4 Bedrooms Duplex For Rent At 2nd Avenue, Ikoyi",4 beds,5 baths,5 Toilets
"3,000,000",7,2 BEDROOM FLAT / APARTMENT FOR RENT, 2nd Avenue Extension Ikoyi Lagos,"Tastefully Finished 2 Bedroom Flat For Rent At 2nd Avenue, Ikoyi.",2 beds,3 baths,3 Toilets
"9,000,000",2,10 BEDROOM BOYS QUARTERS FLAT / APARTMENT FOR RENT, Bourdillon Ikoyi Lagos,Two Blocks Of 16(Nos) 3 Bedroom Flat With A Room Boysquarters Each In Ikoyi.,10 beds,10 baths,10 Toilets
"6,000,000",11,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT, Parkview Estate Ikoyi Lagos,"Tastefully Finished 4 Bedroom Terrace For Rent At Parkview Estate, Ikoyi",4 beds,5 baths,5 Toilets
"3,000,000",12,4 BEDROOM HOUSE FOR RENT, Ogudu Gra Ogudu Lagos,4bedroom duplex with private courtyard available at ogudu ,4 beds,5 baths,5 Toilets
"3,000,000",7,BLOCKS OF FLATS HOUSE FOR RENT,Off Coker road Coker Road Ilupeju Lagos,Clean 4units Of 3bedroom Flat In Ilupeju For Rent, beds, baths, Toilets
"2,000,000",6,2 BEDROOM FLAT / APARTMENT FOR RENT, Maryland Lagos,2 bedroom flat available at maryland ,2 beds,3 baths,3 Toilets
"3,500,000",7,3 BEDROOM FLAT / APARTMENT FOR RENT,Reeve Road Old Ikoyi Ikoyi Lagos,"Tastefully Finished 3 Bedroom Flat At Reeve Road, Ikoyi.",3 beds,4 baths,4 Toilets
"3,000,000",9,2 BEDROOM FLAT / APARTMENT FOR RENT, Parkview Estate Ikoyi Lagos,Tastefully Furnished 2bedroom Flat At Parkview Estate For Rent,2 beds,3 baths,3 Toilets
"13,000,000",33,4 BEDROOM FLAT / APARTMENT FOR RENT,"Vita Towers, Anifowose Street, Victoria Island Lagos",Luxury 4 Bedroom Flat,4 beds,4 baths,5 Toilets
"3,000,000",6,4 BEDROOM DETACHED BUNGALOW HOUSE FOR RENT,"Northern Foreshore Estate, Chevron Lekki Lagos",Fully Serviced 4 Bedroom Bungalow With 24hrs Power,4 beds,4 baths,5 Toilets
"4,000,000",9,3 BEDROOM FLAT / APARTMENT FOR RENT, Osborne Foreshore Estate Ikoyi Lagos,"Newly Renovated 3bedroom Flat For Rent At Osborn Phase 2, Ikoyi, Lagos.",3 beds,4 baths,4 Toilets
"6,000,000",4,4 BEDROOM HOUSE FOR RENT, Shonibare Estate Maryland Lagos,4bedroom House Available At Shonibare Estate,4 beds,4 baths,5 Toilets
"6,000,000",4,4 BEDROOM HOUSE FOR RENT, Shonibare Estate Maryland Lagos,Luxury 4bedroom Available At Shonibare Estate,4 beds,5 baths,5 Toilets
